option,weight_fpp,avg_weight_lbs,avg_weight,count,total_weight,first_release_doy
1,5,0.2,90.7184,1010000,202000.00,75
2,5.5,0.181818182,82.47127273,1080000,196363.64,75
3,6,0.166666667,75.59866667,1150000,191666.67,75
4,6.5,0.153846154,69.78338462,1220000,187692.31,75
5,7,0.142857143,64.79885714,1280000,182857.14,75
6,7.5,0.133333333,60.47893333,1340000,178666.67,75
7,8,0.125,56.699,1400000,175000.00,75
8,8.5,0.117647059,53.36376471,1460000,171764.71,75
9,9,0.111111111,50.39911111,1500000,166666.67,75
10,9.5,0.105263158,47.74652632,1550000,163157.89,75
11,10,0.1,45.3592,1620000,162000.00,75
12,10.5,0.095238095,43.1992381,1680000,160000.00,75
13,11,0.090909091,41.23563636,1730000,157272.73,75
14,11.5,0.086956522,39.44278261,1780000,154782.61,75
15,12,0.083333333,37.79933333,1830000,152500.00,75
16,12.5,0.08,36.28736,1880000,150400.00,75
17,5,0.2,90.7184,1010000,202000.00,95
18,5.5,0.181818182,82.47127273,1080000,196363.64,95
19,6,0.166666667,75.59866667,1150000,191666.67,95
20,6.5,0.153846154,69.78338462,1220000,187692.31,95
21,7,0.142857143,64.79885714,1280000,182857.14,95
22,7.5,0.133333333,60.47893333,1340000,178666.67,95
23,8,0.125,56.699,1400000,175000.00,95
24,8.5,0.117647059,53.36376471,1460000,171764.71,95
25,9,0.111111111,50.39911111,1500000,166666.67,95
26,9.5,0.105263158,47.74652632,1550000,163157.89,95
27,10,0.1,45.3592,1620000,162000.00,95
28,10.5,0.095238095,43.1992381,1680000,160000.00,95
29,11,0.090909091,41.23563636,1730000,157272.73,95
30,11.5,0.086956522,39.44278261,1780000,154782.61,95
31,12,0.083333333,37.79933333,1830000,152500.00,95
32,12.5,0.08,36.28736,1880000,150400.00,95
